#E	u32a
6.501	16.9712
6.566	17.0675
6.635	17.2138
6.702	17.3563
6.77	17.4938
6.837	17.6394
6.905	17.7956
6.972	17.9231
7.04	18.0931
7.107	18.2112
7.174	18.3506
7.242	18.5169
7.309	18.69
7.377	18.8488
7.444	18.9269
7.512	19.1287
7.579	19.2694
7.647	19.4594
7.714	19.5619
7.782	19.7969
7.849	19.9544
7.917	20.135
7.984	20.275
8.052	20.46
8.119	20.615
8.186	20.8481
8.254	20.99
8.321	21.2044
8.389	21.4107
8.456	21.5944
8.524	21.795
8.591	21.9707
8.659	22.2131
8.726	22.44
8.794	22.6919
8.861	22.9069
8.929	23.1169
8.996	23.4194
9.063	23.5875
9.131	23.8956
9.198	24.1569
9.266	24.4544
9.333	24.7669
9.401	25.13
9.468	25.4469
9.536	25.755
9.603	26.115
9.67	26.535
9.738	27.0132
9.805	27.43
9.873	27.9625
9.94	28.4063
10.008	28.9956
10.075	29.635
10.143	30.465
10.21	31.2075
10.278	32.2056
10.345	33.3075
10.413	34.6306
